timestamp,aX,aY,aZ
2026-05-25 04:54:12,16576,-704,-1124
2026-05-25 04:54:14,16732,-740,-1124
2026-05-25 04:54:16,16676,-612,-1060
2026-05-25 04:54:18,16704,-704,-1004
2026-05-25 04:54:20,16748,-636,-1084
2026-05-25 04:54:22,16708,-640,-1040
2026-05-25 04:54:24,16720,-276,-864
2026-05-25 04:54:26,16772,-620,-996
2026-05-25 04:54:28,16644,-576,-1068
2026-05-25 04:54:30,16644,-676,-952
2026-05-25 04:54:32,16656,-640,-1076
2026-05-25 04:54:34,16712,-620,-988
2026-05-25 04:54:36,16744,-708,-1088
2026-05-25 04:54:38,16752,-680,-968
2026-05-25 04:54:40,16724,-624,-1120
2026-05-25 04:54:42,16692,-652,-1132
2026-05-25 04:54:44,16712,-668,-1048
2026-05-25 04:54:46,16764,-676,-1148
2026-05-25 04:54:48,16704,-652,-1036
2026-05-25 04:54:50,16756,-644,-1076
2026-05-25 04:54:52,16940,-560,-1172
2026-05-25 04:54:54,16688,-660,-1056
2026-05-25 04:54:56,16680,-668,-1060
2026-05-25 04:54:58,17160,-880,-884
2026-05-25 04:55:00,16572,-820,-940
2026-05-25 04:55:02,16000,-736,-664
2026-05-25 04:55:04,16728,-840,-888
2026-05-25 04:55:06,16740,-692,-1168
2026-05-25 04:55:08,16644,-716,-1256
2026-05-25 04:55:10,16672,-664,-1236
2026-05-25 04:55:12,16644,-632,-1108
2026-05-25 04:55:14,16724,-704,-1264
2026-05-25 04:55:16,16648,-692,-1220
2026-05-25 04:55:18,16704,-764,-1136
2026-05-25 04:55:20,16664,-680,-1220
2026-05-25 04:55:22,16708,-788,-1112
2026-05-25 04:55:24,16684,-692,-1164
2026-05-25 04:55:26,16648,-716,-1176
2026-05-25 04:55:28,16700,-756,-1220
2026-05-25 04:55:30,16712,-736,-1228
2026-05-25 04:55:32,16716,-704,-1100
2026-05-25 04:55:34,16716,-652,-1164
2026-05-25 04:55:36,16716,-708,-1208
2026-05-25 04:55:38,16708,-620,-1156
2026-05-25 04:55:40,16692,-700,-1316
2026-05-25 04:55:42,16680,-704,-1180
2026-05-25 04:55:44,16672,-624,-1232
2026-05-25 04:55:46,16680,-640,-1164
2026-05-25 04:55:48,16700,-684,-1172
2026-05-25 04:55:50,16652,-708,-1224
2026-05-25 04:55:52,16724,-668,-1164
2026-05-25 04:55:54,16744,-692,-1092
2026-05-25 04:55:56,16660,-720,-1248
2026-05-25 04:55:58,16692,-632,-1192
2026-05-25 04:56:00,16668,-668,-1320
2026-05-25 04:56:02,16696,-732,-1172
2026-05-25 04:56:04,16752,-632,-1176
2026-05-25 04:56:06,16692,-704,-1164
2026-05-25 04:56:08,16684,-668,-1168
2026-05-25 04:56:10,16696,-704,-1180
2026-05-25 04:56:12,16724,-688,-1196
2026-05-25 04:56:14,16640,-688,-1188
2026-05-25 04:56:16,16672,-676,-1144
2026-05-25 04:56:18,16668,-676,-1104
2026-05-25 04:56:20,16724,-680,-1264
2026-05-25 04:56:22,16660,-712,-1168
2026-05-25 04:56:24,16672,-736,-1132
2026-05-25 04:56:26,16744,-656,-1244
2026-05-25 04:56:28,16660,-748,-1292
2026-05-25 04:56:30,16744,-676,-1216
2026-05-25 04:56:32,16640,-688,-1188
2026-05-25 04:56:34,16700,-808,-1164
2026-05-25 04:56:36,16704,-664,-1264
2026-05-25 04:56:38,16656,-708,-1184
2026-05-25 04:56:40,16656,-676,-1204
2026-05-25 04:56:42,16692,-664,-1148
2026-05-25 04:56:44,16704,-708,-1120
2026-05-25 04:56:46,16672,-680,-1220
2026-05-25 04:56:48,16660,-692,-1148
2026-05-25 04:56:50,16740,-644,-1176
2026-05-25 04:56:52,16696,-696,-1216
2026-05-25 04:56:54,16716,-592,-1108
2026-05-25 04:56:56,16724,-652,-1172
2026-05-25 04:56:58,16660,-748,-1148
2026-05-25 04:57:00,16688,-680,-1112
2026-05-25 04:57:02,16668,-656,-1144
2026-05-25 04:57:04,16632,-680,-1196
2026-05-25 04:57:06,16708,-712,-1180
2026-05-25 04:57:08,16760,-700,-1260
2026-05-25 04:57:10,16696,-668,-1168
2026-05-25 04:57:12,16716,-672,-1188
2026-05-25 04:57:14,16708,-744,-1212
2026-05-25 04:57:16,16656,-660,-1112
2026-05-25 04:57:18,16648,-676,-1248
2026-05-25 04:57:20,16688,-644,-1148
2026-05-25 04:57:22,16712,-684,-1152
