timestamp,aX,aY,aZ,label
2026-06-01 04:16:00,16648,-504,-1880,light
2026-06-01 04:16:00,16604,-512,-1892,light
2026-06-01 04:16:01,16644,-596,-1892,light
2026-06-01 04:16:01,16680,-552,-1840,light
2026-06-01 04:16:02,16704,-536,-1824,light
2026-06-01 04:16:02,16660,-548,-1804,light
2026-06-01 04:16:03,16656,-628,-1840,light
2026-06-01 04:16:03,16664,-528,-1820,light
2026-06-01 04:16:04,16632,-552,-1856,light
2026-06-01 04:16:04,16700,-564,-1860,light
2026-06-01 04:16:05,16612,-532,-1912,light
2026-06-01 04:16:05,16672,-516,-1908,light
2026-06-01 04:16:06,16668,-568,-1804,light
2026-06-01 04:16:06,16704,-564,-1796,light
2026-06-01 04:16:07,16660,-496,-1832,light
2026-06-01 04:16:07,16680,-532,-1788,light
2026-06-01 04:16:08,16708,-508,-1844,light
2026-06-01 04:16:08,16664,-576,-1924,light
2026-06-01 04:16:09,16652,-504,-1816,light
2026-06-01 04:16:09,16668,-504,-1816,light
2026-06-01 04:16:10,16680,-564,-1972,light
2026-06-01 04:16:10,16632,-528,-1876,light
2026-06-01 04:16:11,16704,-532,-1836,light
2026-06-01 04:16:11,16696,-516,-1908,light
2026-06-01 04:16:12,16648,-536,-1864,light
2026-06-01 04:16:12,16664,-548,-1840,light
2026-06-01 04:16:13,16680,-524,-1832,light
2026-06-01 04:16:13,16676,-536,-1864,light
2026-06-01 04:16:14,16604,-528,-2056,light
2026-06-01 04:16:14,16688,-528,-1868,light
2026-06-01 04:16:15,16664,-540,-1856,light
2026-06-01 04:16:15,16692,-476,-1932,light
2026-06-01 04:16:16,16656,-556,-1880,light
2026-06-01 04:16:16,16680,-528,-1800,light
2026-06-01 04:16:17,16652,-516,-1864,light
2026-06-01 04:16:17,16724,-528,-1888,light
2026-06-01 04:16:18,16696,-476,-1816,light
2026-06-01 04:16:18,16636,-488,-1840,light
2026-06-01 04:16:19,16628,-544,-1852,light
2026-06-01 04:16:19,16660,-512,-1920,light
2026-06-01 04:16:20,16652,-464,-1728,light
2026-06-01 04:16:20,16668,-456,-1948,light
2026-06-01 04:16:21,16640,-540,-1820,light
2026-06-01 04:16:21,16740,-496,-1916,light
2026-06-01 04:16:22,16644,-524,-1848,light
2026-06-01 04:16:22,16688,-560,-1924,light
2026-06-01 04:16:23,16724,-560,-1872,light
2026-06-01 04:16:23,16668,-504,-1888,light
2026-06-01 04:16:24,16612,-540,-1904,light
2026-06-01 04:16:24,16708,-556,-1816,light
2026-06-01 04:16:25,16656,-576,-1876,light
2026-06-01 04:16:25,16688,-588,-1888,light
2026-06-01 04:16:26,16652,-552,-1904,light
2026-06-01 04:16:26,16728,-512,-1968,light
2026-06-01 04:16:27,16648,-524,-1888,light
2026-06-01 04:16:27,16668,-496,-1848,light
2026-06-01 04:16:28,16692,-516,-1844,light
2026-06-01 04:16:28,16608,-520,-1804,light
2026-06-01 04:16:29,16648,-576,-1904,light
2026-06-01 04:16:29,16692,-620,-1916,light
2026-06-01 04:16:30,16668,-548,-1940,light
2026-06-01 04:16:30,16640,-504,-1872,light
2026-06-01 04:16:31,16648,-520,-1860,light
2026-06-01 04:16:31,16680,-568,-1824,light
2026-06-01 04:16:32,16680,-540,-1856,light
2026-06-01 04:16:32,16712,-496,-1864,light
2026-06-01 04:16:33,16704,-628,-1828,light
2026-06-01 04:16:33,16740,-544,-1888,light
2026-06-01 04:16:34,16732,-532,-1872,light
2026-06-01 04:16:34,16624,-476,-1892,light
2026-06-01 04:16:35,16684,-516,-1868,light
2026-06-01 04:16:35,16656,-500,-1836,light
2026-06-01 04:16:36,16644,-560,-1848,light
2026-06-01 04:16:36,16684,-500,-1752,light
2026-06-01 04:16:37,16636,-512,-1972,light
2026-06-01 04:16:37,16624,-540,-1860,light
2026-06-01 04:16:38,16732,-516,-1816,light
2026-06-01 04:16:38,16720,-512,-1804,light
2026-06-01 04:16:39,16660,-548,-1824,light
2026-06-01 04:16:39,16700,-516,-1872,light
2026-06-01 04:16:40,16724,-512,-1792,light
2026-06-01 04:16:40,16676,-528,-1824,light
2026-06-01 04:16:41,16700,-600,-1948,light
2026-06-01 04:16:41,16636,-536,-1836,light
2026-06-01 04:16:42,16660,-524,-1972,light
2026-06-01 04:16:42,16668,-508,-1836,light
2026-06-01 04:16:43,16740,-528,-1836,light
2026-06-01 04:16:43,16636,-556,-1816,light
2026-06-01 04:16:44,16688,-512,-1880,light
