timestamp,aX,aY,aZ
1779340264.0972297,16696,-24,-444
1779340264.6021957,16664,76,-340
1779340265.1020272,16676,0,-408
1779340265.603654,16672,8,-392
1779340266.1047776,16724,104,-388
1779340266.607502,16696,76,-376
1779340267.1085331,16720,112,-460
1779340267.6105144,16732,52,-460
1779340268.1123295,16740,-16,-332
1779340268.614157,16700,20,-400
1779340269.1158836,16708,0,-352
1779340269.619082,16760,40,-420
1779340270.1207058,16740,40,-360
1779340270.6238859,16676,12,-352
1779340271.1248581,16676,-40,-328
1779340271.627369,16724,20,-356
1779340272.130541,16620,40,-408
1779340272.6304622,16780,-8,-388
1779340273.1323845,16656,28,-348
1779340273.6366649,16720,68,-504
1779340274.1372056,16748,28,-404
1779340274.640024,16724,-76,-384
1779340275.140223,16860,8,-364
1779340275.6428711,16700,-12,-400
1779340276.144343,16680,8,-440
1779340276.647182,16668,32,-376
1779340277.1489437,16664,72,-356
1779340277.6501594,16712,8,-380
1779340278.1519918,16656,28,-264
1779340278.654811,16628,0,-372
1779340279.1564665,16740,-36,-332
1779340279.6607814,16736,-8,-336
1779340280.163481,16680,28,-388
1779340280.6623664,16708,24,-420
1779340281.1643069,16664,36,-308
1779340281.6666193,16732,-48,-308
1779340282.1694884,16672,-8,-284
1779340282.6700702,16652,56,-304
1779340283.1733124,16692,52,-280
1779340283.6755073,16672,48,-404
1779340284.177613,16688,-40,-316
1779340284.678603,16676,-44,-416
1779340285.1804028,16760,-68,-428
1779340285.6836362,16628,128,-340
1779340286.1844842,16552,-76,-604
1779340286.6869473,16632,52,-408
1779340287.1888173,16664,-100,-268
1779340287.6904588,16680,-24,-148
1779340288.1946065,16684,28,-396
1779340288.6968772,16740,84,-344
1779340289.1963274,16704,68,-396
1779340289.6986623,16692,-12,-396
1779340290.2006476,16692,-36,-452
1779340290.7028015,16668,56,-332
1779340291.2048912,16732,80,-420
1779340291.7065237,16596,36,-404
1779340292.2086263,16672,64,-388
1779340292.7107112,16684,128,-384
1779340293.212533,16732,4,-348
1779340293.7143674,16724,44,-228
1779340294.2177706,16668,-44,-200
1779340294.7197201,16692,8,-352
1779340295.2213936,16728,16,-384
1779340295.723695,16664,-16,-376
1779340296.2264764,16676,68,-328
1779340296.728339,16732,-60,-476
1779340297.2292867,16608,-4,-380
1779340297.7308183,16712,52,-332
1779340298.232291,16756,4,-340
1779340298.73485,16644,-20,-392
1779340299.2376146,16636,8,-432
1779340299.7396736,16700,-12,-372
1779340300.2416246,16604,100,-308
1779340300.7438312,16668,-12,-316
1779340301.2451148,16788,-112,-620
1779340301.7475295,16724,0,-684
1779340302.250139,16724,72,-432
1779340302.7518072,16688,160,-312
1779340303.2527628,16712,88,-416
1779340303.7545986,16724,20,-348
1779340304.2562554,16696,8,-412
1779340304.7588003,16720,32,-432
1779340305.2609026,16680,56,-356
1779340305.762902,16720,28,-348
1779340306.2650225,16704,12,-376
1779340306.7666664,16728,4,-536
1779340307.2687886,16708,56,-468
1779340307.7711625,16620,64,-412
1779340308.2732172,16664,52,-392
1779340308.7742798,16644,0,-476
1779340309.276445,16752,4,-432
1779340309.7805033,16636,20,-444
1779340310.2822561,16640,108,-472
1779340310.7843604,16660,-20,-352
1779340311.2881858,16672,4,-460
1779340311.78931,16764,4,-508
1779340312.290075,16708,24,-424
1779340312.7918756,16772,84,-344
1779340313.2938335,16676,56,-480
1779340313.7957678,16728,72,-404
1779340314.2971861,16716,-8,-348
1779340314.7995725,16680,-24,-484
1779340315.3026764,16696,40,-452
1779340315.8034325,16692,32,-384
1779340316.307289,16736,-24,-396
1779340316.8065805,16380,28,-336
1779340317.3096795,16756,-244,-364
1779340317.8117197,17184,100,-564
1779340318.317833,16788,72,-480
1779340318.8145175,16740,184,-436
1779340319.3166661,16640,68,-428
1779340319.8198388,16628,12,-388
1779340320.3222454,16724,-12,-372
1779340320.8236866,16736,52,-324
1779340321.3350353,16744,164,-212
1779340321.828575,16896,-64,-2544
